-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2013 through 03/31/2014 in LST
Location: latitude  -0.1807   longitude -78.4678 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1862.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_SW_DWN,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN
2013,111,14.53,16.37,16.81,19.87,14.65
2013,112,14.38,7.79,16.72,20.13,14.27
2013,113,11.97,6.34,17.01,19.78,15.0
2013,114,25.11,0.43,18.25,25.21,12.09
2013,115,24.67,5.89,17.88,23.21,14.16
2013,116,22.53,1.11,17.77,22.54,14.6
2013,117,17.91,2.87,17.08,21.16,14.42
2013,118,17.68,0.99,17.13,22.37,13.73
2013,119,13.24,8.46,17.53,22.7,14.09
2013,120,15.63,1.31,18.17,24.42,14.07
2013,121,15.25,11.61,17.34,22.7,13.22
2013,122,15.23,7.18,17.21,20.76,14.49
2013,123,12.89,7.83,17.82,22.8,14.87
2013,124,16.71,17.88,17.55,22.61,15.05
2013,125,14.34,14.81,17.05,21.71,14.32
2013,126,11.12,8.73,17.28,21.8,14.4
2013,127,10.97,8.43,17.42,22.18,14.56
2013,128,14.19,3.72,17.45,22.33,14.65
2013,129,12.21,1.83,16.71,20.93,13.77
2013,130,14.64,2.96,17.54,22.81,14.08
2013,131,14.39,2.41,17.4,22.66,13.87
2013,132,12.12,0.72,17.91,23.89,13.71
2013,133,11.85,1.45,17.51,23.38,12.7
2013,134,11.53,1.94,17.4,23.17,12.9
2013,135,10.16,2.3,16.93,21.92,13.5
2013,136,9.79,2.7,17.0,22.33,14.21
2013,137,13.73,1.6,17.48,22.95,13.82
2013,138,14.45,0.61,18.1,24.44,13.57
2013,139,12.8,1.14,17.94,23.98,13.93
2013,140,10.75,4.91,16.97,20.84,14.21
2013,141,10.37,8.95,17.03,22.36,13.51
2013,142,12.45,1.05,17.11,22.29,14.44
2013,143,14.61,1.33,17.47,23.62,13.51
2013,144,12.87,7.53,17.68,23.43,13.08
2013,145,13.21,3.8,17.63,23.65,12.85
2013,146,10.55,5.54,17.2,22.86,14.12
2013,147,13.56,6.7,17.15,22.38,14.1
2013,148,11.67,2.97,17.1,22.38,13.84
2013,149,12.92,6.32,16.81,20.99,14.51
2013,150,11.59,12.43,16.84,22.56,13.69
2013,151,11.11,1.08,16.75,21.87,13.13
2013,152,15.43,1.34,17.61,23.15,14.38
2013,153,17.23,1.62,18.09,24.79,13.14
2013,154,14.74,3.13,17.59,24.88,12.62
2013,155,12.63,0.96,17.05,24.42,11.5
2013,156,13.02,0.22,17.0,24.59,11.86
2013,157,16.77,2.94,16.7,23.95,10.99
2013,158,14.12,0.94,17.24,24.36,11.8
2013,159,15.23,1.25,17.15,23.94,11.66
2013,160,13.16,1.12,17.51,24.66,12.24
2013,161,14.63,0.46,17.32,24.71,11.31
2013,162,12.32,0.44,17.28,23.31,12.42
2013,163,12.64,0.2,17.35,24.25,12.07
2013,164,16.68,0.59,17.67,24.92,11.94
2013,165,11.84,0.51,17.75,24.43,13.46
2013,166,14.86,0.09,18.24,25.21,13.74
2013,167,13.32,0.02,17.93,24.63,12.78
2013,168,16.98,0.37,18.03,25.22,11.96
2013,169,14.34,0.23,17.81,24.51,12.77
2013,170,13.0,0.62,17.81,24.74,12.48
2013,171,13.47,0.38,17.48,24.87,12.61
2013,172,15.81,0.52,17.33,25.14,10.85
2013,173,16.42,0.21,17.65,25.05,11.99
2013,174,15.77,0.66,17.16,22.89,12.31
2013,175,13.22,0.6,17.51,24.01,13.41
2013,176,16.29,0.26,17.45,23.7,13.16
2013,177,15.69,0.03,17.31,23.92,12.53
2013,178,11.9,0.26,17.03,23.44,12.16
2013,179,16.17,0.99,17.68,26.17,12.26
2013,180,15.4,0.7,17.19,24.4,12.02
2013,181,9.41,0.84,16.07,21.64,12.14
2013,182,15.14,1.54,16.82,22.76,12.76
2013,183,11.9,0.72,16.97,23.4,12.72
2013,184,9.93,0.42,16.52,23.42,11.5
2013,185,15.06,0.7,16.53,23.18,12.05
2013,186,12.3,4.11,17.25,24.39,12.18
2013,187,12.51,0.36,17.5,24.52,13.07
2013,188,14.23,3.3,17.24,24.17,11.76
2013,189,13.65,1.57,17.26,23.72,12.94
2013,190,12.49,1.33,17.07,24.64,10.92
2013,191,7.95,0.25,16.88,23.69,12.32
2013,192,12.22,0.27,17.33,24.17,12.93
2013,193,12.5,0.07,16.71,23.21,11.67
2013,194,13.4,0.13,17.23,23.56,11.77
2013,195,14.36,0.43,17.13,23.56,11.33
2013,196,14.88,0.54,17.75,25.28,11.92
2013,197,13.25,1.17,17.58,24.84,11.98
2013,198,12.48,0.78,17.21,24.28,11.92
2013,199,13.61,0.18,17.42,24.5,11.77
2013,200,13.15,0.4,17.36,24.64,12.4
2013,201,16.49,0.18,17.0,24.21,11.57
2013,202,14.96,0.07,17.26,24.98,11.58
2013,203,15.47,0.25,17.3,24.82,12.21
2013,204,15.12,0.26,17.44,24.32,12.56
2013,205,16.6,0.26,17.93,25.6,12.73
2013,206,13.56,1.51,17.29,23.19,13.44
2013,207,16.76,0.11,17.57,25.33,12.11
2013,208,18.0,0.0,17.71,25.69,11.94
2013,209,18.38,0.7,17.14,24.85,11.3
2013,210,14.42,0.84,17.13,24.72,11.66
2013,211,15.09,0.48,17.11,25.24,10.9
2013,212,12.04,0.31,16.94,23.25,11.64
2013,213,13.99,0.28,17.17,23.4,12.56
2013,214,14.74,0.73,17.39,24.21,12.09
2013,215,12.63,0.95,17.11,23.79,12.9
2013,216,18.36,0.23,17.69,25.07,12.39
2013,217,18.17,0.94,17.68,25.1,11.58
2013,218,13.46,0.39,17.43,24.57,12.05
2013,219,13.69,0.21,17.35,24.5,12.14
2013,220,13.63,0.16,16.86,22.79,12.29
2013,221,17.54,0.99,17.33,22.59,14.06
2013,222,11.43,0.6,16.74,22.08,13.56
2013,223,14.48,3.32,17.04,23.25,12.75
2013,224,17.29,0.99,17.46,23.4,13.77
2013,225,15.91,0.56,17.69,24.32,13.58
2013,226,12.88,3.21,17.07,22.88,13.01
2013,227,12.86,1.23,17.76,24.89,13.39
2013,228,15.52,0.05,17.82,25.43,12.79
2013,229,12.51,0.05,17.55,24.6,11.83
2013,230,11.75,0.01,17.13,23.44,12.0
2013,231,11.49,0.04,17.16,23.58,11.53
2013,232,12.1,0.3,17.84,25.48,11.86
2013,233,12.52,0.03,17.51,24.99,11.87
2013,234,15.62,0.06,17.8,25.49,11.71
2013,235,16.4,1.17,17.29,24.7,12.02
2013,236,14.65,2.45,16.7,21.56,13.09
2013,237,14.89,1.07,17.06,23.34,12.75
2013,238,11.7,0.68,16.95,23.35,13.0
2013,239,17.95,0.1,17.52,25.19,12.12
2013,240,16.37,0.56,17.76,25.41,12.24
2013,241,21.8,0.07,17.52,26.03,11.65
2013,242,21.24,0.08,17.43,25.86,10.55
2013,243,13.43,0.21,17.46,25.02,11.66
2013,244,12.43,0.12,17.62,25.27,12.19
2013,245,18.58,0.0,17.02,24.6,10.88
2013,246,18.19,1.46,17.2,24.67,12.11
2013,247,18.24,0.56,17.66,24.86,12.53
2013,248,14.96,0.05,17.9,25.3,13.32
2013,249,11.32,0.05,17.65,25.52,12.28
2013,250,13.16,0.23,17.32,24.84,11.98
2013,251,13.02,0.35,17.65,24.55,12.7
2013,252,13.37,0.62,17.71,25.36,11.99
2013,253,13.64,0.08,17.36,24.21,13.05
2013,254,16.06,0.53,17.24,24.69,12.45
2013,255,14.64,0.39,17.14,23.46,13.13
2013,256,19.86,0.93,17.87,24.75,12.97
2013,257,14.93,0.37,18.28,24.89,13.56
2013,258,13.71,0.45,18.37,24.6,14.34
2013,259,15.24,0.13,18.49,26.11,13.57
2013,260,12.2,1.46,17.53,24.38,11.92
2013,261,14.24,0.47,18.05,25.79,12.34
2013,262,11.36,0.51,17.58,23.93,12.82
2013,263,17.03,0.04,18.44,26.54,12.37
2013,264,23.33,0.0,18.49,26.96,11.73
2013,265,23.17,0.08,18.62,27.1,11.89
2013,266,17.55,0.37,18.52,26.15,13.02
2013,267,14.01,0.31,18.57,27.11,12.82
2013,268,18.31,0.3,18.24,26.55,12.12
2013,269,17.55,0.54,18.72,27.05,13.15
2013,270,15.19,0.25,18.03,26.19,11.54
2013,271,14.37,1.36,17.75,24.0,13.83
2013,272,13.47,5.12,17.26,22.53,14.16
2013,273,13.1,3.83,16.86,21.67,13.98
2013,274,21.99,0.28,17.7,24.68,12.57
2013,275,15.66,0.15,18.09,24.74,14.24
2013,276,13.13,5.81,17.72,24.45,14.01
2013,277,12.85,0.15,17.86,24.98,13.12
2013,278,15.66,0.1,18.12,26.24,12.87
2013,279,13.37,0.06,18.27,25.73,12.68
2013,280,18.77,1.06,18.73,27.4,12.14
2013,281,18.46,0.23,18.5,26.71,12.61
2013,282,16.76,0.24,17.76,25.46,11.74
2013,283,13.75,2.96,17.42,23.7,12.7
2013,284,17.28,1.21,17.87,24.59,14.14
2013,285,10.37,4.07,17.63,24.08,14.08
2013,286,11.75,11.9,17.11,22.32,13.77
2013,287,10.33,8.86,16.5,20.64,13.9
2013,288,10.66,2.53,17.6,23.51,13.63
2013,289,9.64,10.18,17.04,22.85,13.53
2013,290,16.91,2.28,17.31,21.8,14.09
2013,291,18.4,1.79,17.43,23.6,13.83
2013,292,20.66,0.15,17.74,25.87,11.47
2013,293,16.84,0.49,17.59,24.92,12.67
2013,294,15.33,2.21,17.06,23.25,13.83
2013,295,12.59,5.41,16.92,20.62,14.22
2013,296,12.66,5.68,17.69,24.22,13.74
2013,297,16.8,0.84,18.09,26.21,12.44
2013,298,15.7,3.27,18.08,24.94,13.38
2013,299,14.62,1.87,17.8,25.49,12.15
2013,300,11.71,4.41,17.6,24.25,13.8
2013,301,13.91,0.98,17.77,24.38,13.48
2013,302,11.66,2.8,17.65,23.33,14.57
2013,303,12.55,6.2,17.32,22.61,14.37
2013,304,17.05,3.24,17.1,22.5,13.73
2013,305,20.66,0.33,17.0,22.25,13.23
2013,306,19.0,0.0,16.72,22.22,12.15
2013,307,22.21,0.15,16.82,22.27,12.34
2013,308,14.65,0.17,17.01,22.24,13.8
2013,309,14.63,0.94,17.11,22.94,13.59
2013,310,18.37,1.5,16.92,21.47,14.09
2013,311,20.14,0.33,16.54,20.86,13.58
2013,312,19.81,1.6,16.65,23.01,12.47
2013,313,17.39,2.13,16.89,23.14,13.17
2013,314,20.01,0.38,17.44,24.04,13.24
2013,315,15.9,0.23,17.8,25.18,13.43
2013,316,15.65,0.28,18.04,25.6,12.36
2013,317,13.33,0.86,17.73,24.06,13.35
2013,318,12.43,1.93,17.56,23.72,13.67
2013,319,15.06,0.78,17.56,23.49,13.85
2013,320,15.26,0.17,17.56,24.1,13.53
2013,321,15.86,3.34,17.67,23.98,13.5
2013,322,14.28,3.85,17.36,22.61,13.9
2013,323,16.96,2.53,17.39,23.11,13.1
2013,324,13.96,2.4,16.65,19.47,14.51
2013,325,14.48,2.38,17.1,22.34,13.69
2013,326,11.0,1.01,16.98,21.68,14.13
2013,327,13.49,5.27,16.83,22.25,13.28
2013,328,12.7,4.27,16.73,21.55,13.25
2013,329,15.82,1.64,16.79,21.69,13.48
2013,330,16.27,2.9,16.96,22.38,13.26
2013,331,19.91,1.88,16.96,23.13,13.35
2013,332,18.43,1.94,16.75,23.11,11.91
2013,333,13.15,0.95,17.24,24.1,12.55
2013,334,19.77,1.16,16.83,21.58,12.97
2013,335,22.09,0.35,17.06,22.48,13.59
2013,336,18.72,9.43,16.8,23.23,12.5
2013,337,12.44,4.08,16.93,23.38,13.0
2013,338,13.15,0.77,16.75,21.99,13.23
2013,339,12.9,1.63,17.12,23.01,13.63
2013,340,15.15,4.22,17.17,23.5,12.02
2013,341,13.04,6.68,16.23,21.02,12.61
2013,342,11.71,7.39,16.61,21.19,13.79
2013,343,8.46,6.12,16.33,20.64,13.57
2013,344,12.04,0.28,17.36,23.28,12.78
2013,345,15.95,1.24,17.49,23.78,12.28
2013,346,16.06,0.12,17.27,23.27,12.85
2013,347,15.64,0.21,17.65,23.81,13.3
2013,348,14.78,0.32,17.76,25.2,13.36
2013,349,14.69,0.37,17.82,24.69,12.75
2013,350,12.24,0.17,17.22,22.66,13.44
2013,351,12.14,4.14,16.59,21.73,12.92
2013,352,14.1,2.29,16.88,21.01,13.95
2013,353,13.34,4.82,17.15,21.82,14.11
2013,354,12.46,1.49,17.27,22.49,14.09
2013,355,16.29,0.8,17.3,22.79,13.73
2013,356,18.27,0.51,17.28,22.31,13.78
2013,357,18.86,0.91,17.44,23.01,14.25
2013,358,19.23,0.79,16.96,21.91,13.75
2013,359,16.2,4.28,16.92,22.45,12.53
2013,360,15.68,4.22,16.98,21.67,13.71
2013,361,13.28,0.93,18.44,25.36,13.53
2013,362,14.9,0.21,18.85,27.11,13.19
2013,363,12.5,2.19,18.31,24.48,13.6
2013,364,12.3,0.37,17.38,22.79,13.69
2013,365,17.36,4.43,17.73,24.53,13.7
2014,1,14.61,1.43,17.79,23.48,14.41
2014,2,15.48,0.94,17.52,23.65,12.83
2014,3,12.48,0.59,17.61,23.19,13.24
2014,4,11.77,1.62,18.01,23.11,13.3
2014,5,9.39,2.97,17.78,23.47,13.7
2014,6,10.46,26.06,16.79,19.64,14.87
2014,7,11.62,17.53,16.52,20.65,14.3
2014,8,12.74,10.01,16.34,19.96,13.78
2014,9,11.68,5.09,16.93,21.59,14.37
2014,10,11.36,11.03,16.97,21.58,14.61
2014,11,12.74,5.46,17.09,21.89,13.71
2014,12,16.27,3.73,17.32,20.92,14.75
2014,13,17.08,0.58,17.92,24.54,13.75
2014,14,11.6,1.91,17.59,24.45,11.92
2014,15,16.03,2.43,17.84,24.27,13.34
2014,16,16.47,2.03,17.52,23.48,13.91
2014,17,15.13,0.82,17.44,23.41,13.68
2014,18,11.95,1.11,17.28,24.02,12.4
2014,19,11.89,3.81,17.38,21.78,14.77
2014,20,14.8,2.81,17.36,22.32,13.19
2014,21,17.15,8.05,17.85,23.04,14.74
2014,22,12.9,13.59,17.16,20.33,14.86
2014,23,18.04,4.73,17.42,22.25,14.63
2014,24,17.49,2.61,16.88,21.71,13.68
2014,25,16.71,9.29,16.29,18.55,14.57
2014,26,15.56,5.13,16.35,19.22,14.88
2014,27,13.59,1.32,16.94,20.87,14.27
2014,28,15.89,0.12,17.36,22.59,14.44
2014,29,11.22,4.49,16.87,21.71,14.16
2014,30,11.48,1.95,16.08,19.58,13.67
2014,31,15.5,3.1,17.28,23.23,13.35
2014,32,16.34,0.77,17.61,23.78,14.36
2014,33,17.06,0.55,16.68,20.73,13.58
2014,34,16.41,3.06,16.4,19.66,14.64
2014,35,12.93,3.72,16.71,21.54,14.25
2014,36,9.24,4.18,15.93,19.62,13.54
2014,37,17.1,1.02,17.26,22.81,14.03
2014,38,13.56,3.11,17.07,21.56,14.07
2014,39,9.63,3.88,17.11,22.63,14.41
2014,40,11.8,9.52,16.64,21.62,13.64
2014,41,10.36,1.14,17.74,24.3,13.64
2014,42,10.74,0.53,17.26,21.72,14.16
2014,43,14.22,4.07,17.71,23.29,13.66
2014,44,14.42,2.01,16.77,21.15,14.08
2014,45,14.54,3.11,17.87,23.75,13.98
2014,46,14.09,7.72,17.95,23.15,14.76
2014,47,15.29,12.63,17.0,20.03,14.8
2014,48,14.47,6.44,16.6,19.28,14.78
2014,49,14.21,8.81,17.0,22.44,13.78
2014,50,13.13,2.85,16.94,21.16,14.35
2014,51,11.98,2.08,16.84,20.98,14.55
2014,52,8.96,2.39,16.64,20.19,14.42
2014,53,11.37,3.49,17.26,23.3,12.83
2014,54,7.97,2.11,17.03,22.48,12.81
2014,55,8.18,7.37,17.31,22.7,13.95
2014,56,9.77,4.64,16.47,19.69,14.45
2014,57,15.33,1.43,17.36,22.7,13.8
2014,58,8.76,6.58,16.67,21.35,13.75
2014,59,14.1,7.8,17.05,21.66,14.38
2014,60,13.86,16.16,16.69,20.28,14.13
2014,61,15.46,15.72,16.86,20.2,14.9
2014,62,14.5,6.54,16.46,19.55,14.37
2014,63,14.28,5.12,16.67,19.9,14.45
2014,64,9.67,11.51,16.85,21.62,13.28
2014,65,11.41,4.01,17.2,21.63,14.81
2014,66,12.32,4.0,16.71,20.58,14.73
2014,67,12.84,9.21,16.48,20.59,14.2
2014,68,9.84,5.79,16.18,20.26,13.91
2014,69,13.53,4.03,16.68,21.47,13.31
2014,70,12.67,5.95,16.55,19.13,14.75
2014,71,12.21,6.65,16.58,20.11,14.5
2014,72,12.12,0.45,16.83,21.27,14.03
2014,73,10.96,0.0,17.69,23.31,13.8
2014,74,11.14,0.02,16.45,19.0,14.54
2014,75,10.81,0.01,17.33,22.01,14.79
2014,76,8.0,0.58,17.0,21.2,14.6
2014,77,7.48,0.15,17.07,22.3,14.41
2014,78,9.87,0.0,18.14,24.1,13.06
2014,79,9.69,0.0,17.7,23.09,13.94
2014,80,9.64,1.05,16.78,22.14,13.5
2014,81,10.61,10.4,17.86,23.79,13.76
2014,82,11.6,1.02,17.93,24.26,14.57
2014,83,12.48,0.1,17.41,22.57,13.74
2014,84,12.01,1.41,17.79,23.93,13.47
2014,85,12.96,6.34,17.82,23.43,14.77
2014,86,14.12,0.2,18.17,23.95,14.02
2014,87,18.5,0.0,18.19,23.61,14.21
2014,88,11.38,0.0,17.93,22.97,14.97
2014,89,13.21,1.18,17.59,23.02,14.08
2014,90,20.65,0.28,17.84,23.41,14.31
